CityCode,CountryCode,Name,UtcOffset,TimeZoneId,Airports
BJO,BO,,,,
BJR,ET,,,,{'AirportCode': 'BJR'}
BJS,CN,,,,{'AirportCode': 'PEK'}
BJU,NP,,,,
BJW,ID,,,,
BJX,MX,,,,{'AirportCode': 'BJX'}
BJZ,ES,,,,
BKB,IN,,,,
BKC,US,,,,
BKD,US,,,,
BKE,US,,,,
BKF,US,,,,
BKH,US,,,,
BKI,MY,,,,{'AirportCode': 'BKI'}
BKJ,GN,,,,
BKK,TH,,,,"{'AirportCode': ['BKK', 'DMK']}"
BKM,MY,,,,
BKN,NE,,,,
BKO,ML,,,,{'AirportCode': 'BKO'}
BKP,AU,,,,
BKQ,AU,,,,
BKR,TD,,,,
BKS,ID,,,,
BKT,US,,,,
BKU,MG,,,,
BKW,US,,,,
BKX,US,,,,
BKY,ZR,,,,
BKZ,TZ,,,,
BLA,VE,,,,{'AirportCode': 'BLA'}
BLB,PA,,,,
BLC,CM,,,,
BLD,US,,,,
BLE,SE,,,,
BLF,US,,,,
BLG,MY,,,,
BLH,US,,,,
BLI,US,,,,
BLJ,DZ,,,,
BLK,GB,,,,
BLL,DK,,,,{'AirportCode': 'BLL'}
BLM,US,,,,
BLN,AU,,,,
BLO,IS,,,,
BLP,PE,,,,
BLQ,IT,,,,{'AirportCode': 'BLQ'}
BLR,IN,,,,{'AirportCode': 'BLR'}
BLS,AU,,,,
BLT,AU,,,,
BLU,US,,,,
BLV,US,,,,
BLW,US,,,,
BLX,IT,,,,
BLY,IE,,,,
BLZ,MW,,,,{'AirportCode': 'BLZ'}
BMB,ZR,,,,
BMC,US,,,,
BMD,MG,,,,
BME,AU,,,,
BMF,CF,,,,
BMG,US,,,,
BMH,PG,,,,
BMI,US,,,,
BMJ,GY,,,,
BMK,DE,,,,
BML,US,,,,
BMM,GA,,,,
BMN,IQ,,,,
BMO,MM,,,,
BMP,AU,,,,
BMQ,KE,,,,
BMR,DE,,,,
BMS,BR,,,,
BMU,ID,,,,
BMV,VN,,,,
BMW,DZ,,,,
BMX,US,,,,
BMY,NC,,,,
BMZ,PG,,,,
BNA,US,,,,{'AirportCode': 'BNA'}
BNB,ZR,,,,
BNC,ZR,,,,
BND,IR,,,,
BNE,AU,,,,{'AirportCode': 'BNE'}
BNF,US,,,,
BNG,US,,,,
BNI,NG,,,,
BNJ,DE,,,,
BNK,AU,,,,
BNL,US,,,,
BNM,PG,,,,
BNN,NO,,,,
BNO,US,,,,
BNP,PK,,,,
BNQ,PH,,,,
BNR,BF,,,,
BNS,VE,,,,
BNT,PG,,,,
BNU,BR,,,,
BNV,PG,,,,
BNW,US,,,,
BNX,BA,,,,
BNY,SB,,,,
BNZ,PG,,,,
BOA,ZR,,,,
BOB,PF,,,,
BOC,PA,,,,
BOD,FR,,,,{'AirportCode': 'BOD'}
BOE,CG,,,,
BOG,CO,,,,{'AirportCode': 'BOG'}
BOH,GB,,,,
BOI,US,,,,{'AirportCode': 'BOI'}
BOJ,BG,,,,{'AirportCode': 'BOJ'}
BOK,US,,,,
BOL,GB,,,,
BOM,IN,,,,{'AirportCode': 'BOM'}
BON,AN,,,,
BOO,NO,,,,{'AirportCode': 'BOO'}
BOP,CF,,,,
BOQ,PG,,,,
BOR,FR,,,,
BOS,US,,,,{'AirportCode': 'BOS'}
BOT,PG,,,,
BOU,FR,,,,
BOV,PG,,,,
BOW,US,,,,
BOX,AU,,,,
BOY,BF,,,,
BOZ,CF,,,,
BPA,US,,,,
BPB,PG,,,,
BPC,CM,,,,
BPD,PG,,,,
BPF,SB,,,,
BPG,BR,,,,
BPH,PH,,,,
BPI,US,,,,
BPN,ID,,,,{'AirportCode': 'BPN'}
BPS,BR,,,,{'AirportCode': 'BPS'}
BPT,US,,,,{'AirportCode': 'BPT'}
BPU,JP,,,,
BPY,MG,,,,
BQA,PH,,,,
BQE,GW,,,,
BQH,GB,,,,{'AirportCode': 'BQH'}
BQL,AU,,,,
BQN,PR,,,,{'AirportCode': 'BQN'}
BQO,CI,,,,
BQQ,BR,,,,
BQS,RU,,,,
BQT,BY,,,,
BQU,VC,,,,
BQW,AU,,,,
BRA,BR,,,,
BRB,BR,,,,
BRC,AR,,,,{'AirportCode': 'BRC'}
BRD,US,,,,
BRE,DE,,,,{'AirportCode': 'BRE'}
BRF,GB,,,,
BRG,US,,,,
BRH,PG,,,,
BRI,IT,,,,{'AirportCode': 'BRI'}
BRJ,AU,,,,
BRK,AU,,,,
BRL,US,,,,
BRM,VE,,,,{'AirportCode': 'BRM'}
BRN,CH,,,,{'AirportCode': 'BRN'}
BRO,US,,,,{'AirportCode': 'BRO'}
BRP,PG,,,,
BRQ,CZ,,,,{'AirportCode': 'BRQ'}
BRR,GB,,,,
BRS,GB,,,,{'AirportCode': 'BRS'}
BRT,AU,,,,
BRU,BE,,,,{'AirportCode': 'BRU'}
BRV,DE,,,,
BRW,US,,,,{'AirportCode': 'BRW'}
BRX,DO,,,,
BRY,US,,,,
BRZ,CI,,,,
BSA,SO,,,,
BSB,BR,,,,{'AirportCode': 'BSB'}
BSC,CO,,,,
BSD,CN,,,,
BSE,MY,,,,
BSF,US,,,,
BSG,GQ,,,,
BSH,GB,,,,
BSI,US,,,,
BSJ,AU,,,,
BSK,DZ,,,,
BSL,CH,,,,{'AirportCode': 'BSL'}
BSN,CF,,,,
BSO,PH,,,,
BSP,PG,,,,
BSQ,US,,,,
BSR,IQ,,,,
BSS,BR,,,,
BST,AF,,,,
BSU,ZR,,,,
BSW,US,,,,
BSX,MM,,,,
BSY,SO,,,,
BSZ,US,,,,
BTA,CM,,,,
BTB,CG,,,,
BTC,LK,,,,
BTD,AU,,,,
BTE,SL,,,,
BTF,US,,,,
BTG,CF,,,,
BTH,ID,,,,
BTI,US,,,,
BTJ,ID,,,,
BTK,RU,,,,
BTL,US,,,,
BTM,US,,,,
BTN,US,,,,
BTO,SR,,,,
BTP,US,,,,
BTQ,RW,,,,
BTR,US,,,,{'AirportCode': 'BTR'}
BTS,SK,,,,
BTT,US,,,,
BTU,MY,,,,{'AirportCode': 'BTU'}
BTV,US,,,,{'AirportCode': 'BTV'}
BTW,ID,,,,
BTX,AU,,,,
BTY,US,,,,
BUA,PG,,,,
BUB,US,,,,
BUC,AU,,,,
BUD,HU,,,,{'AirportCode': 'BUD'}
BUE,AR,,,,"{'AirportCode': ['AEP', 'EZE']}"
BUF,US,,,,{'AirportCode': 'BUF'}
BUG,AO,,,,
BUH,RO,,,,{'AirportCode': 'OTP'}
BUI,ID,,,,
BUJ,DZ,,,,
BUK,YE,,,,
BUL,PG,,,,
