AirportCode,DepartureAirportCode,ScheduledDepartureLocal,ScheduledDepartureUTC,ActualDepartureLocal,ActualDepartureUTC,DepartureTimeStatus,ArrivalAirportCode,ScheduledArrivalLocal,ScheduledArrivalUTC,ActualArrivalLocal,ActualArrivalUTC,ArrivalTimeStatus,MarketingAirlineID,MarketingFlightNumber,OperatingAirlineID,OperatingFlightNumber,AircraftCode,AircraftRegistration,FlightStatus,ServiceType
LTN,LTN,2024-06-15T00:30,2024-06-14T23:30Z,2024-06-15T00:56,2024-06-14T23:56Z,Flight Delayed,ADB,2024-06-15T06:20,2024-06-15T03:20Z,2024-06-15T06:33,2024-06-15T03:33Z,Flight Delayed,XQ,885,XQ,885,73H,TCSPY,Flight Landed,Passenger
MAA,MAA,2024-06-15T01:50,2024-06-14T20:20Z,2024-06-15T02:32,2024-06-14T21:02Z,Flight Delayed,FRA,2024-06-15T08:30,2024-06-15T06:30Z,2024-06-15T08:57,2024-06-15T06:57Z,Flight Delayed,LH,759,LH,759,343,DAIGT,Flight Landed,Passenger
MUC,MUC,2024-06-14T22:15,2024-06-14T20:15Z,2024-06-15T00:07,2024-06-14T22:07Z,Flight Delayed,MXP,2024-06-14T23:20,2024-06-14T21:20Z,2024-06-15T01:17,2024-06-14T23:17Z,Flight Delayed,LH,1862,LH,1862,319,DAILS,Flight Landed,Passenger
NBO,NBO,2024-06-14T23:10,2024-06-14T20:10Z,2024-06-15T00:55,2024-06-14T21:55Z,Flight Delayed,FRA,2024-06-15T07:10,2024-06-15T05:10Z,2024-06-15T08:39,2024-06-15T06:39Z,Flight Delayed,LH,591,LH,591,343,DAIGO,Flight Landed,Passenger
NBO,NBO,2024-06-15T01:00,2024-06-14T22:00Z,,,Flight On Time,JED,2024-06-15T04:50,2024-06-15T01:50Z,,,Flight On Time,SV,430,SV,430,330,,No status,Passenger
NDR,NDR,2024-06-15T02:00,2024-06-15T01:00Z,2024-06-15T03:08,2024-06-15T02:08Z,Flight Delayed,CGN,2024-06-15T06:00,2024-06-15T04:00Z,2024-06-15T06:59,2024-06-15T04:59Z,Flight Delayed,EW,385,EW,385,73H,OKTSF,Flight Landed,Passenger
NUE,NUE,2024-06-15T00:20,2024-06-14T22:20Z,2024-06-15T01:25,2024-06-14T23:25Z,Flight Delayed,AYT,2024-06-15T04:30,2024-06-15T01:30Z,2024-06-15T05:09,2024-06-15T02:09Z,Flight Delayed,XQ,169,XQ,169,73H,TCSEP,Flight Landed,Passenger
NUE,NUE,2024-06-15T00:30,2024-06-14T22:30Z,,,Flight On Time,ADB,2024-06-15T04:15,2024-06-15T01:15Z,2024-06-15T04:29,2024-06-15T01:29Z,Flight On Time,XQ,939,XQ,939,73H,TCSOG,Flight Landed,Passenger
NUE,NUE,2024-06-15T02:50,2024-06-15T00:50Z,2024-06-15T03:51,2024-06-15T01:51Z,Flight Delayed,AYT,2024-06-15T07:00,2024-06-15T04:00Z,2024-06-15T08:20,2024-06-15T05:20Z,Flight Delayed,XQ,167,XQ,167,7M8,TCSML,Flight Landed,Passenger
NUE,NUE,2024-06-15T03:15,2024-06-15T01:15Z,2024-06-15T03:56,2024-06-15T01:56Z,Flight Delayed,AYT,2024-06-15T07:25,2024-06-15T04:25Z,2024-06-15T08:27,2024-06-15T05:27Z,Flight Delayed,XQ,165,XQ,165,73H,TCSPH,Flight Landed,Passenger
NUE,NUE,2024-06-15T03:50,2024-06-15T01:50Z,2024-06-15T03:44,2024-06-15T01:44Z,Flight Early,PMI,2024-06-15T06:00,2024-06-15T04:00Z,2024-06-15T05:59,2024-06-15T03:59Z,Flight Early,EW,6815,EW,6815,320,9HEUS,Flight Landed,Passenger
PAD,PAD,2024-06-15T01:55,2024-06-14T23:55Z,2024-06-15T02:00,2024-06-15T00:00Z,Flight On Time,AYT,2024-06-15T06:25,2024-06-15T03:25Z,2024-06-15T06:21,2024-06-15T03:21Z,Flight Early,XQ,367,XQ,367,320,LYMLN,Flight Landed,Passenger
