AirportCode,Latitude,Longitude,CityCode,CountryCode,LocationType,AirportName,UtcOffset,TimeZoneId
GNY,37.0944,38.8469,SFQ,TR,Airport,Sanliurfa - Guney Anadolu,3.0,Europe/Istanbul
GOA,44.4133,8.8375,GOA,IT,Airport,Genoa,2.0,Europe/Rome
GOB,7.1189,40.045,GOB,ET,Airport,Goba,3.0,Africa/Addis_Ababa
GOI,15.3808,73.8314,GOI,IN,Airport,Goa,5.5,Asia/Kolkata
GOJ,56.23,43.7842,GOJ,RU,Airport,Nizhny Novgorod,3.0,Europe/Moscow
GOM,-1.6708,29.2383,GOM,CG,Airport,Goma International,2.0,Africa/Lubumbashi
GOT,57.6628,12.2797,GOT,SE,Airport,Gothenburg - Landvetter,2.0,Europe/Stockholm
GPA,38.1511,21.4256,GPA,GR,Airport,Patrai,3.0,Europe/Athens
GPS,-0.4539,-90.2658,GPS,EC,Airport,BALTRA ISLAND SEYMOUR,-6.0,Pacific/Galapagos
GPT,30.4072,-89.07,GPT,US,Airport,Gulfport,-5.0,America/Chicago
GRB,44.4856,-88.1339,GRB,US,Airport,Green Bay,-5.0,America/Chicago
GRI,40.9675,-98.3097,GRI,US,Airport,Grand Island,-5.0,America/Chicago
GRJ,-34.0056,22.3789,GRJ,ZA,Airport,George,2.0,Africa/Johannesburg
GRO,41.9008,2.7606,GRO,ES,Airport,GIRONA COSTA BRAVA APT,2.0,Europe/Madrid
GRQ,53.125,6.5833,GRQ,NL,Airport,GRONINGEN EELDE,2.0,Europe/Amsterdam
GRR,42.8808,-85.5228,GRR,US,Airport,"Grand Rapids, Kent County Intl, MI",-4.0,America/New_York
GRU,-23.4319,-46.4694,SAO,BR,Airport,Sao Paulo - Guarulhos International,-3.0,America/Sao_Paulo
GRZ,46.9936,15.44,GRZ,AT,Airport,Graz - Thalerhof,2.0,Europe/Vienna
GSO,36.0978,-79.9372,GSO,US,Airport,"Greensboro - Piedmont Triad International, NC",-4.0,America/New_York
GSP,34.8956,-82.2189,GSP,US,Airport,"Greenville - Spartanbur, SC",-4.0,America/New_York
GTF,47.4819,-111.3706,GTF,US,Airport,Great Falls International,-6.0,America/Denver
GUA,14.5844,-90.5272,GUA,GT,Airport,Guatemala City,-6.0,America/Guatemala
GUC,38.5356,-106.9331,GUC,US,Airport,Gunnison,-6.0,America/Denver
GUM,13.4833,144.7961,GUM,GU,Airport,Guam - Agana Field,10.0,Pacific/Guam
GUW,47.1219,51.8214,AKX,KZ,Airport,Atyrau,5.0,Asia/Oral
GVA,46.2381,6.1089,GVA,CH,Airport,GenÃ¨ve - Geneva-Cointrin Airport,2.0,Europe/Zurich
GWL,26.2933,78.2278,GWL,IN,Airport,Gwalior,5.5,Asia/Kolkata
GWT,54.9133,8.3406,GWT,DE,Airport,Westerland/Sylt,2.0,Europe/Berlin
GYD,40.4675,50.0467,BAK,AZ,Airport,Baku - Heydar Aliyev IntÂ´l,4.0,Asia/Baku
GYE,-2.1575,-79.8836,GYE,EC,Airport,Guayaquil,-5.0,America/Guayaquil
GYN,-16.6319,-49.2206,GYN,BR,Airport,Goiania,-3.0,America/Sao_Paulo
GZP,36.2981,32.2903,GZP,TR,Airport,Gazipasa,3.0,Europe/Istanbul
GZT,36.9472,37.4786,GZT,TR,Airport,Gaziantep,3.0,Europe/Istanbul
HAC,33.115,139.7858,HAC,JP,Airport,Hachijo Jima,9.0,Asia/Tokyo
HAH,-11.5336,43.2719,YVA,KM,Airport,MORONI PRINCE SAID IBRAHIM,3.0,Indian/Comoro
HAJ,52.4606,9.6894,HAJ,DE,Airport,Hannover,2.0,Europe/Berlin
HAK,19.9347,110.4589,HAK,CN,Airport,Haikou,8.0,Asia/Shanghai
HAM,53.6303,9.9883,HAM,DE,Airport,Hamburg,2.0,Europe/Berlin
HAN,21.2211,105.8072,HAN,VN,Airport,Hanoi,7.0,Asia/Ho_Chi_Minh
HAR,40.2667,-76.8667,HAR,US,Airport,"Harrisburg, Pennsylvania - Skyport",-4.0,America/New_York
HAU,59.3453,5.2083,HAU,NO,Airport,Haugesund,2.0,Europe/Oslo
HAV,22.9903,-82.4078,HAV,CU,Airport,Havanna,-4.0,America/Havana
HBA,-42.8361,147.5103,HBA,AU,Airport,Hobart,10.0,Australia/Hobart
HBE,30.9178,29.6964,ALY,EG,Airport,Alexandria - Borg El Arab,2.0,Africa/Cairo
HDB,49.3933,8.6519,HDB,DE,Airport,Heidelberg,2.0,Europe/Berlin
HDF,53.8786,14.1522,HDF,DE,Airport,Heringsdorf/Usedom,2.0,Europe/Berlin
HDN,40.4833,-107.2236,AXG,US,Airport,"Hayden - Yampa Valley, Colorado",-6.0,America/Denver
HDS,-24.3486,30.9469,HDS,ZA,Airport,Hoedspruit,2.0,Africa/Johannesburg
HDY,6.9328,100.395,HDY,TH,Airport,Hat Yai,7.0,Asia/Bangkok
HEL,60.3172,24.9633,HEL,FI,Airport,Helsinki - Vantaa,3.0,Europe/Helsinki
HER,35.3397,25.1803,HER,GR,Airport,Heraklion,3.0,Europe/Athens
HET,40.8514,111.8242,HET,CN,Airport,Hohhot,8.0,Asia/Shanghai
HFE,31.9911,116.9892,HFE,CN,Airport,Hefei,8.0,Asia/Shanghai
HGA,9.5139,44.0839,HGA,SO,Airport,HARGEISA EGAL INTL,3.0,Africa/Mogadishu
HGH,30.2294,120.4344,HGH,CN,Airport,Hangzhou,8.0,Asia/Shanghai
HHH,32.2222,-80.6989,HHH,US,Airport,Hilton Head,-4.0,America/New_York
HIJ,34.4361,132.9194,HIJ,JP,Airport,Hiroshima International,9.0,Asia/Tokyo
HIL,6.0833,44.8,HIL,ET,Airport,Shilabo,3.0,Africa/Addis_Ababa
HIN,35.0886,128.0703,HIN,KR,Airport,Jinju,9.0,Asia/Seoul
HKD,41.77,140.8219,HKD,JP,Airport,Hakodate,9.0,Asia/Tokyo
HKG,22.3089,113.9147,HKG,HK,Airport,Hong Kong International Airport,8.0,Asia/Hong_Kong
HKT,8.1122,98.3053,HKT,TH,Airport,Phuket,7.0,Asia/Bangkok
HLD,49.2086,119.8167,HLD,CN,Airport,Hailar,8.0,Asia/Shanghai
HLH,46.1947,122.0083,HLH,CN,Airport,Ulanhot,8.0,Asia/Shanghai
HLN,46.6069,-111.9828,HLN,US,Airport,"Helena, Montana",-6.0,America/Denver
HMO,29.0958,-111.0478,HMO,MX,Airport,Hermosillo,-7.0,America/Hermosillo
HND,35.5522,139.7797,TYO,JP,Airport,Tokyo - Haneda,9.0,Asia/Tokyo
HNL,21.3278,-157.9222,HNL,US,Airport,Honolulu International,-10.0,Pacific/Honolulu
HOG,20.7856,-76.315,HOG,CU,Airport,Holguin,-4.0,America/Havana
HOV,62.1792,6.0711,HOV,NO,Airport,Orsta-Volda,2.0,Europe/Oslo
HPN,41.0669,-73.7075,HPN,US,Airport,Westchester County,-4.0,America/New_York
HRB,45.6233,126.2503,HRB,CN,Airport,Harbin,8.0,Asia/Shanghai
HRE,-17.9319,31.0928,HRE,ZW,Airport,Harare,2.0,Africa/Harare
HRG,27.1786,33.8014,HRG,EG,Airport,Hurghada,2.0,Africa/Cairo
HRK,49.9261,36.2836,HRK,UA,Airport,Kharkov,3.0,Europe/Kiev
HRL,26.2286,-97.6544,HFD,US,Airport,"Harlingen, Texas",-5.0,America/Chicago
HSG,33.1497,130.3022,HSG,JP,Airport,Saga Airport,9.0,Asia/Tokyo
HSV,34.6372,-86.775,HSV,US,Airport,"Huntsville, Madison County, AL",-5.0,America/Chicago
HTS,38.3683,-82.5592,HTS,US,Airport,Huntington,-4.0,America/New_York
HTY,36.3597,36.2847,HTY,TR,Airport,Hatay,3.0,Europe/Istanbul
HUE,13.8333,36.8794,HUE,ET,Airport,Humera,3.0,Africa/Addis_Ababa
HUX,15.7753,-96.2625,HUX,MX,Airport,Huatulco,-5.0,America/Mexico_City
HYD,17.2311,78.4314,HYD,IN,Airport,Hyderabad,5.5,Asia/Kolkata
HYN,28.5653,121.4303,HYN,CN,Airport,Taizhou,8.0,Asia/Shanghai
HYS,38.8503,-99.2756,HYS,US,Airport,Hays,-5.0,America/Chicago
IAD,38.9444,-77.4558,WAS,US,Airport,"Washington - Dulles International, DC",-4.0,America/New_York
IAH,29.9844,-95.3414,HOU,US,Airport,"Houston - Intercontinental, TX",-5.0,America/Chicago
IAS,47.1786,27.6206,IAS,RO,Airport,Iasi,3.0,Europe/Bucharest
IBZ,38.8728,1.3731,IBZ,ES,Airport,Ibiza,2.0,Europe/Madrid
ICN,37.4692,126.4506,SEL,KR,Airport,Seoul - Incheon International Airport,9.0,Asia/Seoul
ICT,37.6528,-97.4331,ICT,US,Airport,"Wichita - Mid-Continent, KS",-5.0,America/Chicago
IDA,43.5144,-112.0708,IDA,US,Airport,IDAHO FALLS REGIONAL,-6.0,America/Denver
IDR,22.7217,75.8011,IDR,IN,Airport,Indore,5.5,Asia/Kolkata
IEG,52.1386,15.7986,IEG,PL,Airport,ZIELONA GORA BABIMOST,2.0,Europe/Warsaw
IEV,50.4017,30.4497,IEV,UA,Airport,KIEV ZHULIANY INTL APT,3.0,Europe/Kiev
IFN,32.7517,51.8697,IFN,IR,Airport,ESFAHAN SHAHID BEHESHTI INTL,4.5,Asia/Tehran
IGD,39.9728,43.8844,IGD,TR,Airport,Igdir,3.0,Europe/Istanbul
