,CityCode,Name,CountryCode,AirportCode,LocationType,Longitude,Latitude
280,CUR,Curacao - Hato Airport,CW,CUR,Airport,-68.9597,12.1889
281,CUU,Chihuahua,MX,CUU,Airport,-105.9644,28.7028
282,CUZ,CUZCO A. VELASCO ASTETE INTL,PE,CUZ,Airport,-71.9389,-13.5358
283,CVG,"Cincinnati - Northern Kentucky, OH",US,CVG,Airport,-84.6678,39.0489
284,CWA,WAUSAU CENTRAL WISCONSIN APT,,CWA,Airport,-89.6667,44.7833
285,CWB,Curitiba,BR,CWB,Airport,-49.1758,-25.5286
286,CWL,Cardiff,GB,CWL,Airport,-3.3433,51.3967
287,CYS,Cheyenne Municipal,US,CYS,Airport,-104.8119,41.1558
288,CZM,Cozumel,MX,CZM,Airport,-86.9369,20.5217
289,CZX,Changzhou,CN,CZX,Airport,119.7783,31.9194
290,DAB,Daytona Beach,US,DAB,Airport,-81.0581,29.18
291,DAC,Dhaka - Zia International,BD,DAC,Airport,90.3978,23.8433
292,DAD,DA NANG,VN,DAD,Airport,108.1994,16.0439
293,DAR,Dar es Salaam International,TZ,DAR,Airport,39.2025,-6.8781
294,DAT,Datong,CN,DAT,Airport,113.1461,39.7189
295,DAV,DAVID ENRIQUE MALEK INTERNATIONAL,,DAV,Airport,-82.435,8.3911
296,DZU,Dazhou,CN,DAX,Airport,107.4306,31.1319
297,DAY,"Dayton - James Cox International, OH",US,DAY,Airport,-84.2194,39.9025
298,DBV,Dubrovnik,HR,DBV,Airport,18.2683,42.5614
299,WAS,Washington National,US,DCA,Airport,-77.0378,38.8522
300,DDC,Dodge City,US,DDC,Airport,-99.9642,37.7603
301,DDG,Dandong,CN,DDG,Airport,124.2869,40.0256
302,DEB,Debrecen,HU,DEB,Airport,21.6153,47.4889
303,DEL,New Delhi - Indira Gandhi International,IN,DEL,Airport,77.1031,28.5664
304,DEN,"Denver - International, CO",US,DEN,Airport,-104.6731,39.8617
305,DFW,"Dallas/Fort Worth - International, TX",US,DFW,Airport,-97.0381,32.8969
306,DGO,Durango,MX,DGO,Airport,-104.5281,24.1242
307,DIB,Dibrugarh,IN,DIB,Airport,95.0167,27.4833
308,DIK,Dickinson,US,DIK,Airport,-102.8,46.8
309,DIR,Dire Dawa,ET,DIR,Airport,41.8542,9.6247
310,DIY,DIYARBAKIR,TR,DIY,Airport,40.2011,37.8939
311,DJE,Djerba,TN,DJE,Airport,10.7756,33.875
312,DKR,Dakar,SN,DKR,Airport,-17.4933,14.7425
313,DLA,Douala,CM,DLA,Airport,9.7194,4.0061
314,DLC,Dalian,CN,DLC,Airport,121.5386,38.9656
315,DLH,Duluth/Superior - Duluth International,US,DLH,Airport,-92.1936,46.8422
316,DLM,Dalaman,TR,DLM,Airport,28.7925,36.7131
317,MOW,Moscow - Domodedovo,RU,DME,Airport,37.9064,55.4089
318,BKK,Bangkok - Don Muang,TH,DMK,Airport,100.6067,13.9125
319,DMM,Dammam,SA,DMM,Airport,49.7978,26.4711
320,DMU,Dimapur,IN,DMU,Airport,93.7744,25.8825
321,DNH,DUNHUANG,CN,DNH,Airport,94.6817,40.0922
322,DNK,Dnipropetrovsk-42,UA,DNK,Airport,35.1006,48.3572
323,DNZ,Denizli,TR,DNZ,Airport,29.7014,37.7856
324,DOH,Doha,QA,DOH,Airport,51.6083,25.2744
325,DOK,Donetsk,UA,DOK,Airport,37.7397,48.0736
326,DPS,Denpasar-Bali,ID,DPS,Airport,115.1672,-8.7481
327,DQA,DAQING SARTU,CN,DQA,Airport,125.1392,46.75
328,DRO,Durango La Plata,US,DRO,Airport,-107.7536,37.1522
329,DRS,Dresden,DE,DRS,Airport,13.7681,51.1344
330,DRT,Del Rio International,US,DRT,Airport,-100.9264,29.3733
331,DRW,Darwin,AU,DRW,Airport,130.8767,-12.4147
332,DSE,Dessie,ET,DSE,Airport,39.7167,11.0833
333,DSM,"Des Moines, IA",US,DSM,Airport,-93.6578,41.5342
334,DSN,Ordos,CN,DSN,Airport,109.8631,39.4922
335,DKR,DAKAR BLAISE DIAGNE INTERNATIONAL,SN,DSS,Airport,-17.0714,14.6725
336,DTM,Dortmund,DE,DTM,Airport,7.6122,51.5183
337,SHV,Shreveport Downtown,US,DTN,Airport,0.0,0.0
338,DTT,"Detroit - Wayne County, MI",US,DTW,Airport,-83.3533,42.2125
339,DTM,DORTMUND HBF RAIL STATION,DE,DTZ,RailwayStation,7.4592,51.5178
340,DUB,Dublin,IE,DUB,Airport,-6.27,53.4214
341,DUD,DUNEDIN,NZ,DUD,Airport,170.1975,-45.9292
342,DUR,Durban International Airport,ZA,DUR,Airport,31.1164,-29.6144
343,DUS,Dusseldorf - Nordrhein-Westfalen,DE,DUS,Airport,6.7667,51.2894
344,DVL,Devils Lake,US,DVL,Airport,-98.9081,48.1156
345,DVO,Davao,PH,DVO,Airport,125.6456,7.1253
346,DXB,Dubai,AE,DXB,Airport,55.3644,25.2528
347,DYG,Dayong,CN,DYG,Airport,110.4431,29.1044
348,DYU,DUSHANBE INTERNATIONAL,TJ,DYU,Airport,68.825,38.5433
349,EAR,Kearney,US,EAR,Airport,-99.0092,40.7267
350,EAT,Wenatchee,US,EAT,Airport,-120.2072,47.3989
351,EAU,Eau Clair,US,EAU,Airport,-91.4842,44.8658
352,EBB,Entebbe,UG,EBB,Airport,32.4436,0.0425
353,EBJ,Esbjerg,DK,EBJ,Airport,8.5525,55.52638889
354,EBL,Erbil,IQ,EBL,Airport,43.9631,36.2378
355,ECN,ERCAN,,ECN,Airport,33.4883,35.1597
356,ECP,PANAMA CITY NW FLORIDA BEACHES INTL,US,ECP,Airport,-85.7989,30.3578
357,EDI,Edinburgh,GB,EDI,Airport,-3.3725,55.95
358,EDO,EDREMIT KORFEZ,TR,EDO,Airport,27.0139,39.5547
359,EFL,Kefallinia,GR,EFL,Airport,20.5006,38.12
360,EGE,"Vail/Eagle County, CO",US,EGE,Airport,-106.9178,39.6425
361,EGO,Belgorod,RU,EGO,Airport,36.59,50.6439
362,EJA,BARRANCABERMEJA YARIGUIES,CO,EJA,Airport,-73.8067,7.0244
363,ELM,Elmira/Corning,US,ELM,Airport,-76.8917,42.16
364,ELP,"El Paso International, TX",US,ELP,Airport,-106.3983,31.8025
365,ELS,East London,ZA,ELS,Airport,27.8258,-33.0356
366,EMA,East Midlands,GB,EMA,Airport,-1.3281,52.8311
367,ENU,ENUGU AKANU IBIAM INTL,NG,ENU,Airport,7.5619,6.4742
368,ERC,Erzincan,TR,ERC,Airport,39.5269,39.7103
369,ERI,Erie International,US,ERI,Airport,-80.1761,42.0819
370,ERZ,Erzurum,TR,ERZ,Airport,41.1703,39.9564
371,ANK,Ankara - Esenboga,TR,ESB,Airport,32.995,40.1281
372,EUG,"Eugene, OR",US,EUG,Airport,-123.2119,44.1247
373,EVE,"Harstad-Narvik, Evenes",NO,EVE,Airport,16.6781,68.4914
374,EVN,Yerevan - Zvartnots Int´l,AM,EVN,Airport,44.3958,40.1472
375,EVV,EVANSVILLE REGIONAL,US,EVV,Airport,-87.5325,38.0369
376,EWN,New Bern,US,EWN,Airport,-77.0431,35.0731
377,NYC,"New York - Newark International, NJ",US,EWR,Airport,-74.1686,40.6925
378,EYW,Key West International,US,EYW,Airport,-81.7594,24.5561
379,BUE,Buenos Aires - Ministro Pistarini,AR,EZE,Airport,-58.5358,-34.8222
380,EZS,Elazig,TR,EZS,Airport,39.2914,38.6069
381,FAE,Faroe Islands,FO,FAE,Airport,-7.2931,62.0664
